city,state_id,state_name,id
New York,NY,New York,1840034016
Los Angeles,CA,California,1840020491
Chicago,IL,Illinois,1840000494
Miami,FL,Florida,1840015149
Dallas,TX,Texas,1840019440
Houston,TX,Texas,1840020925
Philadelphia,PA,Pennsylvania,1840000673
Atlanta,GA,Georgia,1840013660
Washington,DC,District of Columbia,1840006060
Boston,MA,Massachusetts,1840000455
Phoenix,AZ,Arizona,1840020568
Detroit,MI,Michigan,1840003971
Seattle,WA,Washington,1840021117
San Francisco,CA,California,1840021543
San Diego,CA,California,1840021990
Minneapolis,MN,Minnesota,1840007830
Brooklyn,NY,New York,1840034030
Tampa,FL,Florida,1840015982
Denver,CO,Colorado,1840018789
Queens,NY,New York,1840034002
Baltimore,MD,Maryland,1840001592
Las Vegas,NV,Nevada,1840020364
St. Louis,MO,Missouri,1840001651
Portland,OR,Oregon,1840019941
Riverside,CA,California,1840020551
Orlando,FL,Florida,1840015099
Sacramento,CA,California,1840021491
San Juan,PR,Puerto Rico,1630035577
San Antonio,TX,Texas,1840022220
San Jose,CA,California,1840021570
Pittsburgh,PA,Pennsylvania,1840001254
Cincinnati,OH,Ohio,1840003814
Manhattan,NY,New York,1840034000
Cleveland,OH,Ohio,1840000596
Indianapolis,IN,Indiana,1840030084
Austin,TX,Texas,1840019590
Kansas City,MO,Missouri,1840008535
Columbus,OH,Ohio,1840003760
Charlotte,NC,North Carolina,1840014557
Virginia Beach,VA,Virginia,1840003871
Bronx,NY,New York,1840033999
Milwaukee,WI,Wisconsin,1840003046
Providence,RI,Rhode Island,1840003289
Jacksonville,FL,Florida,1840015031
Salt Lake City,UT,Utah,1840021383
Nashville,TN,Tennessee,1840036155
Raleigh,NC,North Carolina,1840014497
Memphis,TN,Tennessee,1840015457
Louisville,KY,Kentucky,1840030815
Richmond,VA,Virginia,1840001698
Buffalo,NY,New York,1840000386
Oklahoma City,OK,Oklahoma,1840020428
Bridgeport,CT,Connecticut,1840004836
New Orleans,LA,Louisiana,1840001839
Fort Worth,TX,Texas,1840020696
Hartford,CT,Connecticut,1840004773
Tucson,AZ,Arizona,1840022101
Honolulu,HI,Hawaii,1840013305
McAllen,TX,Texas,1840021024
